"tagID","tagProjectID","dateBin","mfgID","period","tagDeployID","utcYearStart","utcMonthStart","utcDayStart","utcHourStart","utcMinuteStart","utcYearEnd","utcMonthEnd","utcDayEnd","utcHourEnd","utcMinuteEnd","deferSec","speciesName","bandNumber","markerNumber","markerType","decimalLatitude","decimalLongitude","elevationMeters","sex","age","weightGrams","wingMillimeters","tarsusMillimeters","culmenMillimeters","billMillimeters","headMillimeters","fatScore","comments","test"
"33201","4","2019-1","21","10.900500297546387","21595","2019","5","6","17","30","","","","","","0.0","Calidris canutus","","","","32.55030000","-80.19540000","1.0","U","","","","","","","","","","false"
"33202","4","2019-1","22","10.899499893188477","21596","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02157","PLV","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","145.0","","","","","","","","false"
"33203","4","2019-1","23","10.901100158691406","21597","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04511","PPX","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","154.0","","","","","","","","false"
"33204","4","2019-1","24","10.901000022888184","21598","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02158","PLY","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","128.0","","","","","","","","false"
"33205","4","2019-1","25","10.900799751281738","21599","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04501","PPP","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","154.0","","","","","","","","false"
"33206","4","2019-1","26","10.900899887084961","21600","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04509","PPE","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","119.0","","","","","","","","false"
"33207","4","2019-1","27","10.901000022888184","21601","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02156","PLU","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","145.0","","","","","","","","false"
"33208","4","2019-1","28","10.900899887084961","21602","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04510","PPL","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","164.0","","","","","","","","false"
"33209","4","2019-1","29","10.900199890136719","21603","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02147","PLE","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","137.0","","","","","","","","false"
"33210","4","2019-1","30","10.900899887084961","21604","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04507","PPH","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","151.0","","","","","","","","false"
