motusTagID,spp,age,tagDeployID,tagDeployStart,tagDepLat,tagDepLon,min_depart,max_depart,departure_notes
28461,Ruddy Turnstone,ad,16194,2018-05-22T04:00:00Z,32.071,-80.89,2018-05-22,2018-05-25,
28467,Ruddy Turnstone,ad,16200,2018-05-22T04:00:00Z,32.071,-80.89,2018-05-22,2018-05-25,
28468,Ruddy Turnstone,ad,16201,2018-05-22T04:00:00Z,32.071,-80.89,2018-05-22,2018-05-31,
28473,Ruddy Turnstone,ad,16206,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-30,2018-05-30,
28474,Ruddy Turnstone,ad,16207,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-06-01,
28480,Ruddy Turnstone,ad,16213,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28481,Ruddy Turnstone,ad,19547,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28482,Ruddy Turnstone,ad,19548,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-27,
28484,Ruddy Turnstone,ad,19550,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-27,2018-05-27,
28485,Ruddy Turnstone,ad,19551,2018-05-22T04:00:00Z,32.071,-80.89,2018-05-22,2018-05-25,
28486,Ruddy Turnstone,ad,19552,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28487,Ruddy Turnstone,ad,19553,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-26,
28490,Ruddy Turnstone,ad,19556,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-30,
28492,Ruddy Turnstone,ad,19558,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-29,
28493,Ruddy Turnstone,ad,19559,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28494,Ruddy Turnstone,ad,19560,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28497,Ruddy Turnstone,ad,19563,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28498,Ruddy Turnstone,ad,19564,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-28,2018-05-28,
28500,Ruddy Turnstone,ad,19566,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28501,Ruddy Turnstone,ad,19653,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-28,2018-05-28,
28502,Ruddy Turnstone,ad,19654,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28504,Ruddy Turnstone,ad,19656,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28505,Ruddy Turnstone,ad,19657,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-28,2018-05-28,
28506,Ruddy Turnstone,ad,19658,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28507,Ruddy Turnstone,ad,19659,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-28,2018-05-28,
28508,Ruddy Turnstone,ad,19660,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
28510,Ruddy Turnstone,ad,19662,2018-05-24T04:00:00Z,32.071,-80.89,2018-05-24,2018-05-25,
33193,Ruddy Turnstone,ad,21587,2019-05-21T16:30:00Z,32.0662,-80.8931,2019-05-21,2019-05-28,
33225,Ruddy Turnstone,ad,21619,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-25,
